"week_index","forecast_cases","lower_80","upper_80","lower_95","upper_95"
1,2766.18617635539,-5953.63134883533,11486.0037015461,-10569.6239155876,16101.9962682983
2,3393.50191614466,-18759.2096333098,25546.2134655991,-30486.1467567391,37273.1505890284
3,4119.99421078965,-29025.9219841407,37265.91040572,-46572.3101203586,54812.2985419379
4,4709.11729761611,-34658.2493214259,44076.4839166581,-55498.0743706471,64916.3089658793
5,5122.84301326937,-37501.7561578528,47747.4421843915,-60065.8559645618,70311.5419911005
6,5390.19763383175,-38927.1598825648,49707.5551502283,-62387.351828418,73167.7470960814
7,5553.25978354513,-39686.26660214,50792.7861692303,-63634.6252594673,74741.1448265575
8,5648.29922931409,-40142.5950563346,51439.1935149628,-64382.8302489706,75679.4287075988
9,5701.56555445138,-40461.0378065124,51864.1689154151,-64898.0438975865,76301.1750064893
10,5730.34723384439,-40714.9639396603,52175.6584073491,-65301.6265066276,76762.3209743164
11,5745.33677632723,-40937.5580247171,52428.2315773716,-65649.989766961,77140.6633196155
12,5752.8375827991,-41144.3938919527,52650.0690575509,-65970.2886154754,77475.9637810737
13,5756.41847104061,-41343.0627209616,52855.8996630428,-66276.021977516,77788.8589195972
14,5758.02666464222,-41537.3545390874,53053.4078683719,-66574.0169976123,78090.0703268968
15,5758.68654069734,-41729.171229978,53246.5443113727,-66867.7246282765,78385.0977096711
16,5758.91648959052,-41919.4558853093,53437.2888644904,-67158.8616230537,78676.6946022348
17,5758.96739102953,-42108.6645709213,53626.5993529804,-67448.2582821515,78966.1930642105
18,5758.95400911865,-42297.0102463703,53814.9182646076,-67736.3010515523,79254.2090697896
19,5758.92480346379,-42484.5883281887,54002.4379351163,-68023.1615112154,79541.011118143
20,5758.89764171497,-42671.4399808285,54189.2352642584,-68308.9120753001,79826.7073587301
21,5758.87730616071,-42857.5829553033,54375.3375676247,-68593.5824232297,80111.3370355511
22,5758.86363758596,-43043.0259228929,54560.7531980649,-68877.1857322988,80394.9130074707
23,5758.85506111092,-43227.7747063747,54745.4848285965,-69159.7300739856,80677.4401962075
24,5758.84994680214,-43411.8347163094,54929.5346099137,-69441.2228601946,80958.9227537988
25,5758.84702213315,-43595.2117214318,55112.9057656981,-69721.672239809,81239.3662840754
26,5758.84541127532,-43777.9119575204,55295.602780071,-70001.0872859937,81518.7781085443
27,5758.8445557199,-43959.9420197914,55477.6311312312,-70279.4777896046,81797.1669010444
28,5758.84411822068,-44141.3087182179,55658.9969546592,-70556.8539870695,82074.5422235109
29,5758.84390385153,-44322.018956424,55839.706764127,-70833.2263333827,82350.9141410857
30,5758.84380418756,-44502.0796462589,56019.767254634,-71108.6053419087,82626.2929502838
31,5758.84376107521,-44681.4976532586,56199.1851754091,-71383.0014817941,82900.6890039445
32,5758.84374446315,-44860.2797644113,56377.9672533376,-71656.4251169332,83174.1126058595
33,5758.84373944624,-45038.4326705371,56556.1201494296,-71928.8864721623,83446.5739510548
34,5758.84373898669,-45215.9629576387,56733.650435612,-72200.3956161774,83718.0830941508
35,5758.84373997173,-45392.8771034808,56910.5645834242,-72470.9624542173,83988.6499341608
36,5758.84374115552,-45569.1814770828,57086.8689593939,-72740.596726197,84258.284208508
37,5758.84374212639,-45744.8823397553,57262.5698240081,-73009.3080077465,84526.9954919993
38,5758.84374281217,-45919.9858469085,57437.6733325328,-73277.1057127154,84794.7931983398
39,5758.84374325698,-46094.4980502129,57612.1855367269,-73543.9990963584,85061.6865828723
40,5758.84374352902,-46268.424899891,57786.112386949,-73809.9972587915,85327.6847458495
41,5758.84374368794,-46441.7722470307,57959.4597344066,-74075.109148513,85592.7966358889
42,5758.8437437772,-46614.5458458684,58132.2333334228,-74339.3435658912,85857.0310534456
43,5758.84374382552,-46786.7513560185,58304.4388436696,-74602.7091665747,86120.3966542257
44,5758.84374385074,-46958.394344642,58476.0818323435,-74865.2144648106,86382.9019525121
45,5758.84374386339,-47129.4802885514,58647.1677762781,-75126.8678366665,86644.5553243933
46,5758.84374386944,-47300.0145762534,58817.7020639923,-75387.6775231556,86905.3650108945
47,5758.84374387217,-47470.0025099326,58987.689997677,-75647.651633271,87165.3391210154
48,5758.8437438733,-47639.4493073759,59157.1367951225,-75906.7981469301,87424.4856346767
49,5758.8437438737,-47808.3601038426,59326.04759159,-76165.1249178349,87682.8124055823
50,5758.84374387379,-47976.7399538811,59494.4274416287,-76422.63967625,87940.3271639975
51,5758.84374387377,-48144.5938330936,59662.2813208412,-76679.3500317026,88197.0375194501
52,5758.84374387372,-48311.9266398522,59829.6141275996,-76935.2634756063,88452.9509633538
